,BJD,RV,eRV,Flag,eRV_og,residuals
0,0.0,-5.017607088340547,32.58752842071734,1,27.48142463,-5.017607088340547
1,49.944241519551724,-5.545950992254859,29.708703387545622,1,23.99768214,-5.545950992254859
2,54.937785289715976,-32.513488246677184,41.7180468017261,1,37.86392901,-32.513488246677184
3,69.92236800957471,50.74642879799005,40.67509351274957,1,36.71164561,50.74642879799005
4,81.69271639967337,-47.38433260666001,39.334588140293675,1,35.22061208,-47.38433260666001
5,87.90230625960976,22.57153318376487,30.06998981284084,1,24.44352631,22.57153318376487
6,89.81115163955837,-8.414796039408301,39.82725464207499,1,35.76998607,-8.414796039408301
7,97.68124486971647,8.15720030335575,34.46692074251392,1,29.68586055,8.15720030335575
8,108.7870960496366,-6.54325168079319,45.04838438798577,1,41.50468199,-6.54325168079319
9,139.66749294986948,40.78224197159524,36.69132672254675,1,32.24182296,40.78224197159524
10,157.75800319993868,-35.422820907179286,36.34707200386387,1,31.84951074,-35.422820907179286
11,369.88983573997393,14.18301708178302,32.941400637087064,1,27.90013561,14.18301708178302
12,393.9646271299571,5.022510681794984,34.479493337716406,1,29.7004571,5.022510681794984
13,416.9664695998654,-3.903247189200119,29.53222731866112,1,23.77885913,-3.903247189200119
14,429.92106541991234,31.395833430720728,30.565644667578738,1,25.05075498,31.395833430720728
15,435.92837311979383,-22.976655489068577,42.792320966592285,1,39.04439044,-22.976655489068577
16,443.8735050498508,42.68678705506741,29.036518558130904,1,23.16033465,42.68678705506741
17,452.7674304796383,-78.85433036928949,25.373767835362173,1,18.3605497,-78.85433036928949
18,457.7443388099782,57.790221574094545,35.69813510040069,1,31.10688896,57.790221574094545
19,465.7766473595984,34.56080475709092,56.655493484141545,1,53.88067031,34.56080475709092
